profile,workload,variant,repetition,seed,initial_records,operations,elapsed_nanos,throughput_ops_s,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,search_p95_ns,insert_p95_ns,delete_p95_ns,update_p95_ns,range_p95_ns,final_records,leaf_count,avg_occupancy,peak_heap_bytes,process_cpu_nanos,current_thread_cpu_nanos,current_thread_allocated_bytes,gc_collections,gc_time_millis,jit_compilation_millis,controller_nanos,controller_time_share_pct,maintenance_count,maintenance_nanos,records_moved,leaves_touched,full_rebuilds,commit_count,rollback_count,abstain_count,no_trial_commits,failed_trials_kept,structural_attempts,expected_diagnosis_matches,expected_diagnosis_mismatches,observation_windows,reference_ready_windows,degraded_windows,persistent_triggers,diagnosis_attempts,confident_diagnoses,candidate_selections,trial_starts
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,4,69069,1000000,300000,303353800,988944.2624420726,797.8313333333333,500.0,1700.0,3200.0,14531500,500.0,1900.0,1900.0,500.0,3600.0,1116551,23385,0.7460384594825743,253755392,984375000,281250000,101139296,0,0,891,42309400,13.947212792455542,5,958300,339,16,0,3,2,13,0,0,5,0,0,219,125,65,27,0,0,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,5,48271,1000000,300000,315156300,951908.6243873278,828.6233333333333,500.0,1700.0,3200.0,14915800,500.0,1900.0,1800.0,500.0,3900.0,1116139,23361,0.7465293384272933,252706816,906250000,281250000,100512120,0,0,908,47465200,15.060844412756463,8,1228400,489,25,0,6,2,2,0,0,8,0,0,218,113,64,24,0,0,8,8
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,6,134775813,1000000,300000,274369000,1093417.9881837962,721.9593333333333,600.0,1600.0,2400.0,15856700,400.0,1800.0,1700.0,400.0,3800.0,1116029,23363,0.7463918642725678,248643600,921875000,281250000,97588896,0,0,642,31515600,11.486574649468416,5,159200,275,15,0,3,2,7,0,0,5,0,0,220,122,57,22,0,0,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,7,16807,1000000,300000,250524100,1197489.5828385374,638.8333333333334,500.0,1500.0,2700.0,1053600,400.0,1700.0,1600.0,400.0,3700.0,1116229,23369,0.7463339520304677,250609664,812500000,265625000,98373200,0,0,599,16135700,6.440777553935929,4,118400,227,12,0,2,2,7,0,0,4,0,0,219,127,55,17,0,0,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,8,2147483647,1000000,300000,254190800,1180215.8063942518,658.801,500.0,1500.0,2600.0,13023700,400.0,1600.0,1700.0,500.0,3500.0,1115520,23355,0.7463070006422607,251658240,687500000,250000000,100123656,0,0,481,29631900,11.657345584497945,7,198000,398,21,0,4,3,1,0,0,7,0,0,219,124,68,26,0,0,7,7
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,9,6364136223846793005,1000000,300000,242964100,1234750.3190800615,631.104,500.0,1500.0,2400.0,1284400,400.0,1700.0,1700.0,500.0,3600.0,1116488,23361,0.7467627670048371,248643600,500000000,250000000,97176544,0,0,421,17063500,7.023054023207544,7,209000,377,21,0,4,3,3,0,0,7,0,0,220,121,66,26,0,0,7,7
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,0,1103515245,1000000,300000,270623900,1108549.5405246913,717.244,500.0,1600.0,2600.0,14914800,400.0,1700.0,1700.0,500.0,3700.0,1116659,23344,0.7474210450222756,250609664,781250000,265625000,98794496,0,0,701,36124500,13.34859929222807,5,797800,327,16,0,2,3,6,0,0,5,0,0,217,123,66,28,11,5,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,1,214013,1000000,300000,272878800,1099389.179371941,734.87,500.0,1600.0,2800.0,18465800,400.0,1800.0,1700.0,500.0,3600.0,1115764,23356,0.7464382813837986,249561088,734375000,250000000,99383416,0,0,791,37357800,13.690253695047032,4,879700,267,13,0,3,1,18,0,0,4,0,0,221,127,67,33,22,9,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,2,1664525,1000000,300000,285157800,1052049.0759852966,753.672,500.0,1700.0,3000.0,11909500,500.0,1900.0,1800.0,500.0,3800.0,1116289,23360,0.7466616277825342,251658240,968750000,296875000,101119760,0,0,819,33712200,11.822296286477172,6,886700,372,19,0,4,2,13,0,0,6,0,0,222,126,73,36,19,11,6,6
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,3,22695477,1000000,300000,286969700,1045406.5359513565,762.731,600.0,1600.0,2900.0,13173900,400.0,1900.0,1900.0,500.0,3900.0,1116254,23372,0.7462548669347938,245366784,906250000,281250000,94426456,0,0,821,27406000,9.550137174760959,2,844600,115,6,0,1,1,13,0,0,2,0,0,215,130,60,20,15,8,2,2
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,4,69069,1000000,300000,316964700,946477.6361531741,833.0143333333333,500.0,1800.0,3900.0,20233400,500.0,2100.0,2100.0,600.0,3900.0,1116551,23386,0.7460065584110152,250609664,984375000,312500000,100405840,0,0,959,43028500,13.575170989072285,5,952300,238,15,0,3,2,11,0,0,5,0,0,219,125,65,21,16,6,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,5,48271,1000000,300000,297265400,1009199.186989135,761.4206666666666,600.0,1600.0,2600.0,10811100,500.0,1800.0,1800.0,500.0,3900.0,1116139,23362,0.746497383571612,248592528,1062500000,296875000,98983608,0,0,760,35128600,11.817251520022175,5,936400,325,16,0,3,2,13,0,0,5,0,0,220,122,66,27,18,9,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,6,134775813,1000000,300000,266494600,1125726.3749434322,640.1426666666666,600.0,1500.0,2300.0,652900,400.0,1700.0,1700.0,400.0,3700.0,1116029,23365,0.7463279745345602,248512512,843750000,265625000,97162776,0,0,756,23747200,8.910949790352225,3,89900,176,9,0,2,1,13,0,0,3,0,0,221,127,55,24,16,9,3,3
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,7,16807,1000000,300000,283242800,1059161.9628107052,736.3076666666667,500.0,1600.0,2800.0,13243300,400.0,1700.0,1700.0,500.0,3600.0,1116229,23368,0.7463658903200958,250609664,968750000,281250000,99221560,0,0,854,37397400,13.203301196005688,4,963200,231,12,0,2,2,13,0,0,4,0,0,219,126,57,22,17,9,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,8,2147483647,1000000,300000,332255700,902919.0469870042,847.488,600.0,1800.0,3100.0,16029800,500.0,2100.0,2000.0,600.0,4200.0,1115520,23360,0.7461472602739726,248512512,1125000000,312500000,97457328,0,0,760,41987700,12.637164689725413,4,1096300,226,12,0,2,2,11,0,0,4,0,0,219,128,67,24,15,8,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_LOCALITY,9,6364136223846793005,1000000,300000,241610800,1241666.349351933,627.6246666666667,500.0,1400.0,2300.0,13501300,400.0,1600.0,1500.0,400.0,3400.0,1116488,23362,0.7467308021573495,251658240,625000000,234375000,101063176,0,0,527,26490200,10.963996642534191,7,199500,393,21,0,5,2,8,0,0,7,0,0,219,120,64,30,15,9,7,7
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_ROLLBACK,0,1103515245,1000000,300000,288559900,1039645.4947482308,759.618,500.0,1700.0,3100.0,15744500,500.0,1900.0,1900.0,500.0,3800.0,1116659,23345,0.7473890286999357,250609664,1015625000,296875000,98940640,0,0,956,39114800,13.555175199326033,3,1056700,155,9,0,1,0,11,0,2,3,0,0,219,126,60,24,14,7,3,3
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_ROLLBACK,1,214013,1000000,300000,276831100,1083693.2700119314,736.6,500.0,1600.0,2900.0,16979800,400.0,1800.0,1800.0,500.0,3700.0,1115764,23356,0.7464382813837986,250609664,781250000,265625000,99943880,0,0,826,37743200,13.63401727623811,6,1148300,344,18,0,3,0,13,0,3,6,0,0,220,126,66,32,19,8,6,6
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_ROLLBACK,2,1664525,1000000,300000,300025000,999916.6736105324,741.6706666666666,500.0,1700.0,3300.0,4573900,500.0,2000.0,1900.0,500.0,3700.0,1116289,23362,0.7465977067459978,249561088,953125000,296875000,99296840,0,0,970,36122900,12.039963336388634,4,929700,249,13,0,3,0,16,0,1,4,0,0,223,131,77,36,20,9,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_ROLLBACK,3,22695477,1000000,300000,283125200,1059601.9005019688,746.273,600.0,1700.0,2800.0,6278300,500.0,1900.0,1900.0,500.0,4000.0,1116254,23371,0.7462867977407899,250609664,1078125000,296875000,98901280,0,0,931,18536900,6.547244823138315,4,961000,199,12,0,4,0,13,0,0,4,0,0,214,122,57,24,17,6,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_ROLLBACK,4,69069,1000000,300000,277301900,1081853.3879501007,732.1703333333334,600.0,1700.0,3100.0,4649100,400.0,1900.0,1900.0,500.0,3800.0,1116551,23383,0.7461022698114015,250609664,984375000,281250000,99753776,0,0,860,17529300,6.321377531131232,6,928000,359,19,0,6,0,7,0,0,6,0,0,218,124,62,22,13,8,6,6
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_ROLLBACK,5,48271,1000000,300000,268074600,1119091.4767754946,708.0166666666667,500.0,1600.0,2900.0,12309600,400.0,1700.0,1800.0,500.0,3700.0,1116139,23364,0.746433482066427,247463936,828125000,265625000,97233472,0,0,713,29313700,10.93490394091794,3,764100,181,9,0,1,0,13,0,2,3,0,0,221,127,67,26,16,9,3,3
